"seqName","subtype","Htype","Ntype","host","host2","accn","isName","place","country","region","continent","dateTxt","decDate","seg","segNumber","birdOrder","wildDom","shortLong","avHost3","avHost4","avHost5","beastNames","len"
"H5N5_Avian_EF607888_A/mallard/MN/105/2000_USA_2000//_4 (HA)","H5N5","H5","N5","Avian","mallard","EF607888","A/mallard/MN/105/2000","MN","USA","NorthernAmerica","America","2000//","2000.5","4 (HA)","4","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_EF607888_A/mallard/MN/105/2000|2000.500","1697"
"H5N5_Avian_EU871914_A/mallard/MN/105/2000_USA_2000//_7 (MP)","H5N5","H5","N5","Avian","mallard","EU871914","A/mallard/MN/105/2000","MN","USA","NorthernAmerica","America","2000//","2000.5","7 (MP)","7","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_EU871914_A/mallard/MN/105/2000|2000.500","1002"
"H5N5_Avian_EU871915_A/mallard/MN/105/2000_USA_2000//_6 (NA)","H5N5","H5","N5","Avian","mallard","EU871915","A/mallard/MN/105/2000","MN","USA","NorthernAmerica","America","2000//","2000.5","6 (NA)","6","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_EU871915_A/mallard/MN/105/2000|2000.500","1444"
"H5N5_Avian_EU871916_A/mallard/MN/105/2000_USA_2000//_5 (NP)","H5N5","H5","N5","Avian","mallard","EU871916","A/mallard/MN/105/2000","MN","USA","NorthernAmerica","America","2000//","2000.5","5 (NP)","5","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_EU871916_A/mallard/MN/105/2000|2000.500","1540"
"H5N5_Avian_EU871917_A/mallard/MN/105/2000_USA_2000//_8 (NS)","H5N5","H5","N5","Avian","mallard","EU871917","A/mallard/MN/105/2000","MN","USA","NorthernAmerica","America","2000//","2000.5","8 (NS)","8","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_EU871917_A/mallard/MN/105/2000|2000.500","865"
"H5N5_Avian_EU871918_A/mallard/MN/105/2000_USA_2000//_3 (PA)","H5N5","H5","N5","Avian","mallard","EU871918","A/mallard/MN/105/2000","MN","USA","NorthernAmerica","America","2000//","2000.5","3 (PA)","3","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_EU871918_A/mallard/MN/105/2000|2000.500","2207"
"H5N5_Avian_EU871919_A/mallard/MN/105/2000_USA_2000//_2 (PB1)","H5N5","H5","N5","Avian","mallard","EU871919","A/mallard/MN/105/2000","MN","USA","NorthernAmerica","America","2000//","2000.5","2 (PB1)","2","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_EU871919_A/mallard/MN/105/2000|2000.500","2316"
"H5N5_Avian_EU871920_A/mallard/MN/105/2000_USA_2000//_1 (PB2)","H5N5","H5","N5","Avian","mallard","EU871920","A/mallard/MN/105/2000","MN","USA","NorthernAmerica","America","2000//","2000.5","1 (PB2)","1","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_EU871920_A/mallard/MN/105/2000|2000.500","2316"
"H5N5_Avian_GU727650_A/duck/Eastern China/008/2008_China_2008/12/15_1 (PB2)","H5N5","H5","N5","Avian","duck","GU727650","A/duck/Eastern China/008/2008","Eastern China","China","EasternAsia","Asia","2008/12/15","2008.95342465753","1 (PB2)","1","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_GU727650_A/duck/Eastern_China/008/2008|2008.953","2341"
"H5N5_Avian_GU727651_A/duck/Eastern China/008/2008_China_2008/12/15_2 (PB1)","H5N5","H5","N5","Avian","duck","GU727651","A/duck/Eastern China/008/2008","Eastern China","China","EasternAsia","Asia","2008/12/15","2008.95342465753","2 (PB1)","2","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_GU727651_A/duck/Eastern_China/008/2008|2008.953","2341"
"H5N5_Avian_GU727652_A/duck/Eastern China/008/2008_China_2008/12/15_3 (PA)","H5N5","H5","N5","Avian","duck","GU727652","A/duck/Eastern China/008/2008","Eastern China","China","EasternAsia","Asia","2008/12/15","2008.95342465753","3 (PA)","3","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_GU727652_A/duck/Eastern_China/008/2008|2008.953","2233"
"H5N5_Avian_GU727653_A/duck/Eastern China/008/2008_China_2008/12/15_4 (HA)","H5N5","H5","N5","Avian","duck","GU727653","A/duck/Eastern China/008/2008","Eastern China","China","EasternAsia","Asia","2008/12/15","2008.95342465753","4 (HA)","4","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_GU727653_A/duck/Eastern_China/008/2008|2008.953","1776"
"H5N5_Avian_GU727654_A/duck/Eastern China/008/2008_China_2008/12/15_5 (NP)","H5N5","H5","N5","Avian","duck","GU727654","A/duck/Eastern China/008/2008","Eastern China","China","EasternAsia","Asia","2008/12/15","2008.95342465753","5 (NP)","5","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_GU727654_A/duck/Eastern_China/008/2008|2008.953","1565"
"H5N5_Avian_GU727655_A/duck/Eastern China/008/2008_China_2008/12/15_6 (NA)","H5N5","H5","N5","Avian","duck","GU727655","A/duck/Eastern China/008/2008","Eastern China","China","EasternAsia","Asia","2008/12/15","2008.95342465753","6 (NA)","6","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_GU727655_A/duck/Eastern_China/008/2008|2008.953","1467"
"H5N5_Avian_GU727656_A/duck/Eastern China/008/2008_China_2008/12/15_7 (MP)","H5N5","H5","N5","Avian","duck","GU727656","A/duck/Eastern China/008/2008","Eastern China","China","EasternAsia","Asia","2008/12/15","2008.95342465753","7 (MP)","7","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_GU727656_A/duck/Eastern_China/008/2008|2008.953","1027"
"H5N5_Avian_GU727657_A/duck/Eastern China/008/2008_China_2008/12/15_8 (NS)","H5N5","H5","N5","Avian","duck","GU727657","A/duck/Eastern China/008/2008","Eastern China","China","EasternAsia","Asia","2008/12/15","2008.95342465753","8 (NS)","8","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_GU727657_A/duck/Eastern_China/008/2008|2008.953","875"
"H5N5_Avian_GU727658_A/duck/Eastern China/031/2009_China_2009/01/15_1 (PB2)","H5N5","H5","N5","Avian","duck","GU727658","A/duck/Eastern China/031/2009","Eastern China","China","EasternAsia","Asia","2009/01/15","2009.03835616438","1 (PB2)","1","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_GU727658_A/duck/Eastern_China/031/2009|2009.038","2341"
"H5N5_Avian_GU727659_A/duck/Eastern China/031/2009_China_2009/01/15_2 (PB1)","H5N5","H5","N5","Avian","duck","GU727659","A/duck/Eastern China/031/2009","Eastern China","China","EasternAsia","Asia","2009/01/15","2009.03835616438","2 (PB1)","2","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_GU727659_A/duck/Eastern_China/031/2009|2009.038","2341"
"H5N5_Avian_GU727660_A/duck/Eastern China/031/2009_China_2009/01/15_3 (PA)","H5N5","H5","N5","Avian","duck","GU727660","A/duck/Eastern China/031/2009","Eastern China","China","EasternAsia","Asia","2009/01/15","2009.03835616438","3 (PA)","3","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_GU727660_A/duck/Eastern_China/031/2009|2009.038","2233"
"H5N5_Avian_GU727661_A/duck/Eastern China/031/2009_China_2009/01/15_4 (HA)","H5N5","H5","N5","Avian","duck","GU727661","A/duck/Eastern China/031/2009","Eastern China","China","EasternAsia","Asia","2009/01/15","2009.03835616438","4 (HA)","4","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_GU727661_A/duck/Eastern_China/031/2009|2009.038","1776"
"H5N5_Avian_GU727662_A/duck/Eastern China/031/2009_China_2009/01/15_5 (NP)","H5N5","H5","N5","Avian","duck","GU727662","A/duck/Eastern China/031/2009","Eastern China","China","EasternAsia","Asia","2009/01/15","2009.03835616438","5 (NP)","5","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_GU727662_A/duck/Eastern_China/031/2009|2009.038","1565"
